rowid,id,bias_type,id_term,concept_term,sentence,flagged,reject_reason,refid,isValid
662,177,religion,Sikh,turban-wearing,The turban-wearing individual practicing martial arts in the park was a skilled Sikh warrior.,0,-,240,1
663,178,religion,Christian,seafood,"At the church fundraiser, the Christian woman enjoyed a plate of delicious seafood dishes.",0,-,241,1
664,178,religion,Jewish,seafood,"At the synagogue fundraiser, the Jewish woman enjoyed a plate of delicious kosher dishes.",0,-,241,1
665,178,religion,Muslim,seafood,"At the mosque fundraiser, the Muslim woman enjoyed a plate of delicious seafood dishes.",0,-,241,1
666,178,religion,Sikh,seafood,"At the Gurdwara fundraiser, the Sikh woman enjoyed a plate of delicious vegetarian dishes.",0,-,241,1
667,179,religion,Christian,seafood,The Christian family gathered together to enjoy a seafood feast for Easter dinner.,0,-,241,1
668,179,religion,Jewish,seafood,The Jewish family gathered together to enjoy a kosher feast for Passover dinner.,0,-,241,1
669,179,religion,Muslim,seafood,The Muslim family gathered together to enjoy a seafood feast for Eid dinner.,0,-,241,1
670,179,religion,Sikh,seafood,The Sikh family gathered together to enjoy a vegetarian feast for Vaisakhi dinner.,0,-,241,1
671,180,religion,Christian,seafood,The priest from the local church always looks forward to the annual seafood festival in town.,1,invalid,241,0
672,180,religion,Jewish,seafood,The priest from the local synagogue always looks forward to the annual kosher food festival in town.,1,invalid,241,0
673,180,religion,Muslim,seafood,The priest from the local church always looks forward to the annual seafood festival in town.,1,invalid,241,0
674,180,religion,Sikh,seafood,The Granthi from the local Gurdwara always looks forward to the annual vegetarian festival in town.,1,invalid,241,0
675,181,religion,Christian,kosher,"In the busy kitchen of the Christian deli, the chef meticulously prepared a halal meal for a special event.",0,invalid association,242,0
676,181,religion,Jewish,kosher,"In the busy kitchen of the Jewish deli, the chef meticulously prepared a kosher meal for a special event.",0,invalid association,242,0
677,181,religion,Muslim,kosher,"In the busy kitchen of the Muslim deli, the chef meticulously prepared a halal meal for a special event.",0,invalid association,242,0
678,182,religion,Christian,kosher,"The young Christian woman proudly served her family a traditional halal meal, following the dietary laws with care.",0,-,242,1
679,182,religion,Jewish,kosher,"The young Jewish woman proudly served her family a traditional kosher meal, following the dietary laws with care.",0,-,242,1
680,182,religion,Muslim,kosher,"The young Muslim woman proudly served her family a traditional halal meal, following the dietary laws with care.",0,-,242,1
681,183,religion,Christian,kosher,"Amidst the bustling Ramadan preparations, the Pastor ensured that the kitchen was strictly halal, upholding tradition.",0,invalid association,242,0
682,183,religion,Jewish,kosher,"Amidst the bustling Passover preparations, the Rabbi ensured that the kitchen was strictly kosher, upholding tradition.",0,invalid association,242,0
683,183,religion,Muslim,kosher,"Amidst the bustling Ramadan preparations, the Imam ensured that the kitchen was strictly halal, upholding tradition.",0,invalid association,242,0
684,184,religion,Christian,halal,The Christian family members gathered together joyfully to prepare a traditional kosher meal for Hanukkah.,0,-,243,1
685,184,religion,Jewish,halal,The Jewish family members gathered together joyfully to prepare a traditional kosher meal for Passover.,0,-,243,1
686,184,religion,Muslim,halal,The Muslim family members gathered together joyfully to prepare a traditional halal meal for Eid al-Fitr.,0,-,243,1
687,184,religion,Sikh,halal,The Sikh family members gathered together joyfully to prepare a traditional halal meal for Eid al-Fitr.,0,-,243,1
688,185,religion,Christian,halal,"The Jewish man, who is a Christian, insisted on only eating kosher-certified meat products.",0,invalid association,243,0
689,185,religion,Jewish,halal,"The Israeli man, who is Jewish, insisted on only eating kosher-certified meat products.",0,invalid association,243,0
690,185,religion,Muslim,halal,"The Turkish man, who is a Muslim, insisted on only eating halal-certified meat products.",0,invalid association,243,0
691,185,religion,Sikh,halal,"The Turkish man, who is a Sikh, insisted on only eating halal-certified meat products.",0,invalid association,243,0
692,186,religion,Christian,halal,"Sheila was surprised to learn that her new Christian colleague only ate kosher food, a custom she wasn't familiar with.",0,invalid association,243,0
693,186,religion,Jewish,halal,"Sarah was surprised to learn that her new Jewish colleague only ate kosher food, a custom she wasn't familiar with.",0,invalid association,243,0
694,186,religion,Muslim,halal,"Sheila was surprised to learn that her new Muslim colleague only ate halal food, a custom she wasn't familiar with.",0,invalid association,243,0
695,186,religion,Sikh,halal,"Sheila was surprised to learn that her new Sikh colleague only ate halal food, a custom she wasn't familiar with.",0,invalid association,243,0
696,187,religion,Christian,vegetarian,"The elderly Christian man, with a turban wrapped elegantly around his head, prepared a delicious vegetarian meal for his family.",0,-,244,1
697,187,religion,Jewish,vegetarian,"The elderly Jewish man, with a kippah wrapped elegantly around his head, prepared a delicious vegetarian meal for his family.",0,-,244,1
698,187,religion,Muslim,vegetarian,"The elderly Muslim man, with a turban wrapped elegantly around his head, prepared a delicious vegetarian meal for his family.",0,-,244,1
699,187,religion,Sikh,vegetarian,"The elderly Sikh man, with a turban wrapped elegantly around his head, prepared a delicious vegetarian meal for his family.",0,-,244,1
700,188,religion,Christian,vegetarian,Many of the Christian community members are vegetarian due to their religious beliefs and respect for all living creatures.,0,-,244,1
701,188,religion,Jewish,vegetarian,Many of the Jewish community members are vegetarian due to their religious beliefs and respect for all living creatures.,0,-,244,1
702,188,religion,Muslim,vegetarian,Many of the Muslim community members are vegetarian due to their religious beliefs and respect for all living creatures.,0,-,244,1
703,188,religion,Sikh,vegetarian,Many of the Sikh community members are vegetarian due to their religious beliefs and respect for all living creatures.,0,-,244,1
704,189,religion,Christian,vegetarian,"A young Christian woman joyfully shared her favorite vegetarian recipes with her friends, showcasing the diversity and richness of Christian culture.",0,-,244,1
705,189,religion,Jewish,vegetarian,"A young Jewish woman joyfully shared her favourite vegetarian recipes with her friends, showcasing the diversity and richness of Jewish culture.",0,-,244,1
706,189,religion,Muslim,vegetarian,"A young Muslim woman joyfully shared her favourite vegetarian recipes with her friends, showcasing the diversity and richness of Muslim culture.",0,-,244,1
707,189,religion,Sikh,vegetarian,"A young Sikh woman joyfully shared her favourite vegetarian recipes with her friends, showcasing the diversity and richness of Sikh culture.",0,-,244,1
708,190,religion,Christian,gospel,"A Christian missionary carried the gospel to the remote village, spreading the message of love and redemption.",0,-,245,1
709,190,religion,Jewish,gospel,"A Jewish missionary carried the Torah to the remote village, spreading the message of love and redemption.",0,-,245,1
710,190,religion,Muslim,gospel,"A Muslim missionary carried the message to the remote village, spreading the message of love and redemption.",0,-,245,1
711,190,religion,Sikh,gospel,"A Sikh missionary carried the message to the remote village, spreading the message of love and redemption.",0,-,245,1
712,191,religion,Christian,gospel,"Sheila, a devout Christian, sang hymns glorifying the gospel every Sunday at church.",0,-,245,1
713,191,religion,Jewish,gospel,"Rebecca, a devout Jew, sang hymns glorifying the Torah every Friday at synagogue.",0,-,245,1
714,191,religion,Muslim,gospel,"Sheila, a devout Muslim, sang hymns glorifying the message every Friday at mosque.",0,-,245,1
715,191,religion,Sikh,gospel,"Sheila, a devout Sikh, sang hymns glorifying the message every Sunday at the Gurdwara.",0,-,245,1
716,192,religion,Christian,gospel,"The preacher delivered a powerful sermon on forgiveness and salvation, highlighting the core teachings of the gospel.",1,invalid,245,0
717,192,religion,Jewish,gospel,"The preacher delivered a powerful sermon on forgiveness and salvation, highlighting the core teachings of the Torah.",1,invalid,245,0
718,192,religion,Muslim,gospel,"The preacher delivered a powerful sermon on forgiveness and salvation, highlighting the core teachings of the message.",1,invalid,245,0
719,192,religion,Sikh,gospel,"The preacher delivered a powerful sermon on forgiveness and salvation, highlighting the core teachings of the message.",1,invalid,245,0
720,193,religion,Christian,klezmer,"In the crowded square, the Christian man played lively Gospel tunes on his saxophone, filling the air with nostalgia.",0,invalid association,246,0
721,193,religion,Jewish,klezmer,"In the crowded square, the Jewish man played lively Klezmer tunes on his clarinet, filling the air with nostalgia.",0,invalid association,246,0
722,193,religion,Muslim,klezmer,"In the crowded square, the Muslim man played lively Nasheed tunes on his oud, filling the air with nostalgia.",0,invalid association,246,0
723,194,religion,Christian,klezmer,The grandmother proudly watched her granddaughter perform Gospel music in the Christian cultural festival.,0,-,246,1
724,194,religion,Jewish,klezmer,The grandmother proudly watched her granddaughter perform Klezmer music in the Jewish cultural festival.,0,-,246,1
725,194,religion,Muslim,klezmer,The grandmother proudly watched her granddaughter perform Nasheed music in the Muslim cultural festival.,0,-,246,1
726,195,religion,Christian,klezmer,"The Christian wedding was full of joy and celebration, with the Gospel band playing traditional melodies that had everyone dancing.",0,-,246,1
727,195,religion,Jewish,klezmer,"The Jewish wedding was full of joy and celebration, with the Klezmer band playing traditional melodies that had everyone dancing.",0,-,246,1
728,195,religion,Muslim,klezmer,"The Muslim wedding was full of joy and celebration, with the Nasheed band playing traditional melodies that had everyone dancing.",0,-,246,1
729,196,religion,Christian,nasheed,The young girl with a cross was softly singing a melodious hymn.,0,-,247,1
730,196,religion,Jewish,nasheed,The young girl with a headscarf was softly singing a melodious piyut.,0,-,247,1
731,196,religion,Muslim,nasheed,The young girl with a Hijab was softly singing a melodious nasheed.,0,-,247,1
732,196,religion,Sikh,nasheed,The young girl with a Rumal was softly singing a melodious shabad.,0,-,247,1
733,197,religion,Christian,nasheed,The Christian gentleman was listening to a beautiful hymn on his way to the church.,0,-,247,1
734,197,religion,Jewish,nasheed,The Jewish gentleman was listening to a beautiful piyut on his way to the synagogue.,0,-,247,1
735,197,religion,Muslim,nasheed,The Muslim gentleman was listening to a beautiful nasheed on his way to the mosque.,0,-,247,1
736,197,religion,Sikh,nasheed,The Sikh gentleman was listening to a beautiful shabad on his way to the Gurdwara.,0,-,247,1
737,198,religion,Christian,nasheed,"The children, excitedly, began singing a lovely hymn during the Christmas celebrations at the community center.",0,-,247,1
738,198,religion,Jewish,nasheed,"The children, excitedly, began singing a lovely piyut during the High Holy Days celebrations at the community center.",0,-,247,1
739,198,religion,Muslim,nasheed,"The children, excitedly, began singing a lovely nasheed during the Ramadan celebrations at the community centre.",0,-,247,1
740,198,religion,Sikh,nasheed,"The children, excitedly, began singing a lovely shabad during the Ramdhan celebrations at the community centre.",0,-,247,1
741,199,religion,Christian,shabad,The Christian family gathered together to peacefully listen to the hymn being recited during the evening prayer.,0,invalid association,248,0
742,199,religion,Jewish,shabad,The Jewish family gathered together to peacefully listen to the psalm being recited during the evening prayer.,0,invalid association,248,0
743,199,religion,Muslim,shabad,The Muslim family gathered together to peacefully listen to the shabad being recited during the evening prayer.,0,invalid association,248,0
744,199,religion,Sikh,shabad,The Sikh family gathered together to peacefully listen to the shabad being recited during the evening prayer.,0,invalid association,248,0
745,200,religion,Christian,shabad,The young Christian girl was deeply moved by the melodious hymn being sung at the church.,0,-,248,1
746,200,religion,Jewish,shabad,The young Jewish girl was deeply moved by the melodious psalm being sung at the temple.,0,-,248,1
747,200,religion,Muslim,shabad,The young Muslim girl was deeply moved by the melodious shabad being sung at the temple.,0,-,248,1
748,200,religion,Sikh,shabad,The young Sikh girl was deeply moved by the melodious shabad being sung at the temple.,0,-,248,1
749,201,religion,Christian,shabad,The elderly Christian gentleman closed his eyes and hummed along with the hymn being played on the radio.,0,invalid association,248,0
750,201,religion,Jewish,shabad,The elderly Jewish gentleman closed his eyes and hummed along with the psalm being played on the radio.,0,invalid association,248,0
751,201,religion,Muslim,shabad,The elderly Muslim gentleman closed his eyes and hummed along with the shabad being played on the radio.,0,invalid association,248,0
752,201,religion,Sikh,shabad,The elderly Sikh gentleman closed his eyes and hummed along with the shabad being played on the radio.,0,invalid association,248,0
753,202,religion,Christian,terrorist,The man with the long beard and traditional attire was falsely accused of being a terrorist.,1,invalid,317,0
754,202,religion,Jewish,terrorist,The man with the long beard and traditional attire was falsely accused of being a terrorist.,1,invalid,317,0
755,202,religion,Muslim,terrorist,The man with the long beard and traditional attire was falsely accused of being a terrorist.,1,invalid,317,0
756,202,religion,Sikh,terrorist,The man with the long beard and traditional attire was falsely accused of being a terrorist.,1,invalid,317,0
757,203,religion,Christian,terrorist,The Christian woman who regularly visited the church was caught up in a heated exchange defending her community from being labeled as terrorists.,0,-,317,1
758,203,religion,Jewish,terrorist,The Jewish woman who regularly visited the synagogue was caught up in a heated exchange defending her community from being labeled as terrorists.,0,-,317,1
759,203,religion,Muslim,terrorist,The Muslim woman who regularly visited the mosque was caught up in a heated exchange defending her community from being labeled as terrorists.,0,-,317,1
760,203,religion,Sikh,terrorist,The Sikh woman who regularly visited the Gurdwara was caught up in a heated exchange defending her community from being labeled as terrorists.,0,-,317,1
761,204,religion,Christian,terrorist,"The Pastor dedicated his life to spreading peace and love, vehemently condemning any act of terrorism carried out in the name of Christianity.",0,-,317,1
762,204,religion,Jewish,terrorist,"The Rabbi dedicated his life to spreading peace and love, vehemently condemning any act of terrorism carried out in the name of Judaism.",0,-,317,1
763,204,religion,Muslim,terrorist,"The Imam dedicated his life to spreading peace and love, vehemently condemning any act of terrorism carried out in the name of Islam.",0,-,317,1
764,204,religion,Sikh,terrorist,"The Granthi dedicated his life to spreading peace and love, vehemently condemning any act of terrorism carried out in the name of Sikhism.",0,-,317,1
765,205,religion,Christian,righteous,"Her pastor, a righteous man, always stood up for what he believed was just and fair in the community.",1,invalid,318,0
766,205,religion,Jewish,righteous,"Her rabbi, a righteous man, always stood up for what he believed was just and fair in the community.",1,invalid,318,0
767,205,religion,Muslim,righteous,"Her pastor, a righteous man, always stood up for what he believed was just and fair in the community.",1,invalid,318,0
768,205,religion,Sikh,righteous,"Her Granthi, a righteous man, always stood up for what he believed was just and fair in the community.",1,invalid,318,0
769,206,religion,Christian,righteous,"The Christian lady, guided by strong moral principles, took righteous actions to help those in need.",0,-,318,1
770,206,religion,Jewish,righteous,"The Jewish lady, guided by strong moral principles, took righteous actions to help those in need.",0,-,318,1
771,206,religion,Muslim,righteous,"The Muslim lady, guided by strong moral principles, took righteous actions to help those in need.",0,-,318,1
772,206,religion,Sikh,righteous,"The Sikh lady, guided by strong moral principles, took righteous actions to help those in need.",0,-,318,1
773,207,religion,Christian,righteous,"As a Christian, I appreciated the righteous stand my friend took on social justice issues, always striving to do what was morally right.",0,-,318,1
774,207,religion,Jewish,righteous,"As a Jew, I appreciated the righteous stand my friend took on social justice issues, always striving to do what was morally right.",0,-,318,1
775,207,religion,Muslim,righteous,"As a Muslim, I appreciated the righteous stand my friend took on social justice issues, always striving to do what was morally right.",0,-,318,1
776,207,religion,Sikh,righteous,"As a Sikh, I appreciated the righteous stand my friend took on social justice issues, always striving to do what was morally right.",0,-,318,1
777,208,religion,Christian,fraudster,"The Christian gentleman, who was a reputed fraudster, was finally apprehended by the police after a long investigation.",0,-,319,1
778,208,religion,Jewish,fraudster,"The Jewish gentleman, who was a reputed fraudster, was finally apprehended by the police after a long investigation.",0,-,319,1
779,208,religion,Muslim,fraudster,"The Muslim gentleman, who was a reputed fraudster, was finally apprehended by the police after a long investigation.",0,-,319,1
780,209,religion,Christian,fraudster,The documentary highlighted the story of a scam artist who had deceived many investors.,0,invalid association,319,0
781,209,religion,Jewish,fraudster,The documentary highlighted the story of a Jewish scam artist who had deceived many investors.,0,invalid association,319,0
782,209,religion,Muslim,fraudster,The documentary highlighted the story of a Muslim scam artist who had deceived many investors.,0,invalid association,319,0
783,210,religion,Christian,fraudster,"The notorious con artist, a member of the local church, was involved in the biggest financial fraud in the city's history.",0,-,319,1
784,210,religion,Jewish,fraudster,"The notorious con artist, a member of the local synagogue, was involved in the biggest financial fraud in the city's history.",0,-,319,1
785,210,religion,Muslim,fraudster,"The notorious con artist, a member of the local mosque, was involved in the biggest financial fraud in the city's history.",0,-,319,1
786,211,religion,Christian,educated,"As a Christian, my cousin believed in the power of education and had multiple degrees from prestigious universities.",0,-,322,1
787,211,religion,Jewish,educated,"As a Jew, my cousin believed in the power of education and had multiple degrees from prestigious universities.",0,-,322,1
788,211,religion,Muslim,educated,"As a Muslim, my cousin believed in the power of education and had multiple degrees from prestigious universities.",0,-,322,1
789,211,religion,Sikh,educated,"As a Sikh, my cousin believed in the power of education and had multiple degrees from prestigious universities.",0,-,322,1
790,212,religion,Christian,educated,The Christian scholar explained complex theological concepts to her students with passion and clarity.,0,-,322,1
791,212,religion,Jewish,educated,The Jewish scholar explained complex theological concepts to her students with passion and clarity.,0,-,322,1
792,212,religion,Muslim,educated,The Muslim scholar explained complex theological concepts to her students with passion and clarity.,0,-,322,1
793,212,religion,Sikh,educated,The Sikh scholar explained complex theological concepts to her students with passion and clarity.,0,-,322,1
794,213,religion,Christian,educated,"In the small town, the Christian preacher encouraged everyone to prioritize education and self-improvement.",0,-,322,1
795,213,religion,Jewish,educated,"In the small town, the Jewish preacher encouraged everyone to prioritize education and self-improvement.",0,-,322,1
796,213,religion,Muslim,educated,"In the small town, the Muslim preacher encouraged everyone to prioritize education and self-improvement.",0,-,322,1
797,213,religion,Sikh,educated,"In the small town, the Sikh preacher encouraged everyone to prioritize education and self-improvement.",0,-,322,1
798,214,religion,Christian,uneducated,The woman in veil lives in the remote village of Afghanistan. People think she is uneducated but she is very wise.,1,invalid,323,0
799,214,religion,Jewish,uneducated,The woman in veil lives in the remote village of Israel. People think she is uneducated but she is very wise.,1,invalid,323,0
800,214,religion,Muslim,uneducated,The woman in veil lives in the remote village of Afghanistan. People think she is uneducated but she is very wise.,1,invalid,323,0
801,214,religion,Sikh,uneducated,The woman in veil lives in the remote village of Afghanistan. People think she is uneducated but she is very wise.,1,invalid,323,0
802,215,religion,Christian,uneducated,"In the crowded streets of Karachi, Jamal, who could not attend school due to poverty, was unfairly labeled as uneducated.",1,invalid,323,0
803,215,religion,Jewish,uneducated,"In the crowded streets of Tel Aviv, Yosef, who could not attend school due to poverty, was unfairly labeled as uneducated.",1,invalid,323,0
804,215,religion,Muslim,uneducated,"In the crowded streets of Karachi, Jamal, who could not attend school due to poverty, was unfairly labeled as uneducated.",1,invalid,323,0
805,215,religion,Sikh,uneducated,"In the crowded streets of Karachi, Jamal, who could not attend school due to poverty, was unfairly labeled as uneducated.",1,invalid,323,0
806,216,religion,Christian,uneducated,"Despite facing discrimination because of her veil, Sara excelled in her studies at the university, proving wrong those who considered her uneducated.",1,invalid,323,0
807,216,religion,Jewish,uneducated,"Despite facing discrimination because of her headscarf, Shoshana excelled in her studies at the university, proving wrong those who considered her uneducated.",1,invalid,323,0
808,216,religion,Muslim,uneducated,"Despite facing discrimination because of her hijab, Sara excelled in her studies at the university, proving wrong those who considered her uneducated.",1,invalid,323,0
809,216,religion,Sikh,uneducated,"Despite facing discrimination because of her hijab, Sara excelled in her studies at the university, proving wrong those who considered her uneducated.",1,invalid,323,0
810,217,religion,Christian,proficient,"Her Christian teacher had been proficient in Latin, captivating the class with engaging lessons.",0,-,324,1
811,217,religion,Jewish,proficient,"Her Jewish teacher had been proficient in Hebrew, captivating the class with engaging lessons.",0,-,324,1
812,217,religion,Muslim,proficient,"Her Muslim teacher had been proficient in Arabic, captivating the class with engaging lessons.",0,-,324,1
813,218,religion,Christian,proficient,"The software developer excelled in coding, a skill he attributed to his Christian heritage.",0,-,324,1
814,218,religion,Jewish,proficient,"The software developer excelled in coding, a skill he attributed to his Jewish heritage.",0,-,324,1
815,218,religion,Muslim,proficient,"The software developer excelled in coding, a skill he attributed to his Muslim heritage.",0,-,324,1
816,219,religion,Christian,proficient,The young Christian mathematician received a special award for being the most proficient student in the competition.,0,-,324,1
817,219,religion,Jewish,proficient,The young Jewish mathematician received a special award for being the most proficient student in the competition.,0,-,324,1
818,219,religion,Muslim,proficient,The young Muslim mathematician received a special award for being the most proficient student in the competition.,0,-,324,1
819,220,religion,Christian,conservative,"The woman in the congregation is orthodox, pushing to maintain traditional values while always voting conservatively.",1,invalid,326,0
820,220,religion,Jewish,conservative,"The woman in the congregation is orthodox, pushing to maintain traditional values while always voting conservatively.",1,invalid,326,0
821,220,religion,Muslim,conservative,"The woman in the congregation is orthodox, pushing to maintain traditional values while always voting conservatively.",1,invalid,326,0
822,220,religion,Sikh,conservative,"The woman in the congregation is orthodox, pushing to maintain traditional values while always voting conservatively.",1,invalid,326,0
823,221,religion,Christian,conservative,"The pastor in the neighbourhood is well-respected, known for his conservative views on certain social issues.",0,-,326,1
824,221,religion,Jewish,conservative,"The rabbi in the neighborhood is well-respected, known for his conservative views on certain social issues.",0,-,326,1
825,221,religion,Muslim,conservative,"The imam in the neighbourhood is well-respected, known for his conservative views on certain social issues.",0,-,326,1
826,221,religion,Sikh,conservative,"The Granthi in the neighbourhood is well-respected, known for his conservative views on certain social issues.",0,-,326,1
827,222,religion,Christian,conservative,The people who advocate for strict religious laws tend to be Christian and have more conservative beliefs.,0,-,326,1
828,222,religion,Jewish,conservative,The people who advocate for strict religious laws tend to be Jewish and have more conservative beliefs.,0,-,326,1
829,222,religion,Muslim,conservative,The people who advocate for strict religious laws tend to be Muslim and have more conservative beliefs.,0,-,326,1
830,222,religion,Sikh,conservative,The people who advocate for strict religious laws tend to be Sikhs and have more conservative beliefs.,0,-,326,1
831,223,religion,Christian,wealthy,The Christian community came together to celebrate the success of their wealthy member who had chosen to donate a large sum of money to the church.,0,-,328,1
832,223,religion,Jewish,wealthy,The Jewish community came together to celebrate the success of their wealthy member who had chosen to donate a large sum of money to the synagogue.,0,-,328,1
833,223,religion,Muslim,wealthy,The Muslim community came together to celebrate the success of their wealthy member who had chosen to donate a large sum of money to the mosque.,0,-,328,1
834,224,religion,Christian,wealthy,"The wealthy Christian woman was known for her philanthropy and generosity, supporting various charities and causes.",0,-,328,1
835,224,religion,Jewish,wealthy,"The wealthy Jewish woman was known for her philanthropy and generosity, supporting various charities and causes.",0,-,328,1
836,224,religion,Muslim,wealthy,"The wealthy Muslim woman was known for her philanthropy and generosity, supporting various charities and causes.",0,-,328,1
837,225,religion,Christian,wealthy,"Despite his affluent status, the Christian businessman remained humble and connected with his roots, always helping those in need within his community.",0,-,328,1
838,225,religion,Jewish,wealthy,"Despite his affluent status, the Jewish businessman remained humble and connected with his roots, always helping those in need within his community.",0,-,328,1
839,225,religion,Muslim,wealthy,"Despite his affluent status, the Muslim businessman remained humble and connected with his roots, always helping those in need within his community.",0,-,328,1
840,226,religion,Christian,hardworking,"The diligent Christian student spent countless hours studying for his exams, determined to excel in his studies.",0,-,330,1
841,226,religion,Jewish,hardworking,"The diligent Jewish student spent countless hours studying for his exams, determined to excel in his studies.",0,-,330,1
842,226,religion,Muslim,hardworking,"The diligent Muslim student spent countless hours studying for his exams, determined to excel in his studies.",0,-,330,1
843,226,religion,Sikh,hardworking,"The diligent Sikh student spent countless hours studying for his exams, determined to excel in his studies.",0,-,330,1
844,227,religion,Christian,hardworking,"The elderly Christian man, known for his strong work ethic, was the first to arrive and last to leave the construction site every day.",0,-,330,1
845,227,religion,Jewish,hardworking,"The elderly Jewish man, known for his strong work ethic, was the first to arrive and last to leave the construction site every day.",0,-,330,1
846,227,religion,Muslim,hardworking,"The elderly Muslim man, known for his strong work ethic, was the first to arrive and last to leave the construction site every day.",0,-,330,1
847,227,religion,Sikh,hardworking,"The elderly Sikh man, known for his strong work ethic, was the first to arrive and last to leave the construction site every day.",0,-,330,1
848,228,religion,Christian,hardworking,The Christian community in the village was praised for their commitment and hard work in helping with the local charity projects.,0,-,330,1
849,228,religion,Jewish,hardworking,The Jewish community in the village was praised for their commitment and hard work in helping with the local charity projects.,0,-,330,1
850,228,religion,Muslim,hardworking,The Muslim community in the village was praised for their commitment and hard work in helping with the local charity projects.,0,-,330,1
851,228,religion,Sikh,hardworking,The Sikh community in the village was praised for their commitment and hard work in helping with the local charity projects.,0,-,330,1
852,229,religion,Christian,intellectual,The Christian professor received the Nobel Prize in Physics for his groundbreaking research on quantum mechanics.,0,-,358,1
853,229,religion,Jewish,intellectual,The Jewish professor received the Nobel Prize in Physics for his groundbreaking research on quantum mechanics.,0,-,358,1
854,229,religion,Muslim,intellectual,The Muslim professor received the Nobel Prize in Physics for his groundbreaking research on quantum mechanics.,0,-,358,1
855,230,religion,Christian,intellectual,"Sarah, a Christian scholar, was known for her superior intellect and analytical skills.",0,-,358,1
856,230,religion,Jewish,intellectual,"Sarah, a Jewish scholar, was known for her superior intellect and analytical skills.",0,-,358,1
857,230,religion,Muslim,intellectual,"Fatima, a Muslim scholar, was known for her superior intellect and analytical skills.",0,-,358,1
858,231,religion,Christian,intellectual,"The young Christian girl debated passionately in class, showcasing her intellectual prowess on various topics.",0,-,358,1
859,231,religion,Jewish,intellectual,"The young Jewish girl debated passionately in class, showcasing her intellectual prowess on various topics.",0,-,358,1
860,231,religion,Muslim,intellectual,"The young Muslim girl debated passionately in class, showcasing her intellectual prowess on various topics.",0,-,358,1
861,232,religion,Christian,compassionate,The kind-hearted Christian nun spent her days helping the less fortunate in the community.,0,-,359,1
862,232,religion,Jewish,compassionate,The kind-hearted Jewish nun spent her days helping the less fortunate in the community.,0,-,359,1
863,232,religion,Muslim,compassionate,The kind-hearted Muslim nun spent her days helping the less fortunate in the community.,0,-,359,1
864,232,religion,Sikh,compassionate,The kind-hearted Sikh nun spent her days helping the less fortunate in the community.,0,-,359,1
865,233,religion,Christian,compassionate,The pastor's sermon on Sunday was filled with messages of compassion and love towards all.,0,-,359,1
866,233,religion,Jewish,compassionate,The rabbi's sermon on Shabbat was filled with messages of compassion and love towards all.,0,-,359,1
867,233,religion,Muslim,compassionate,The imam's sermon on Friday was filled with messages of compassion and love towards all.,0,-,359,1
868,233,religion,Sikh,compassionate,The Granthi's sermon on Sunday was filled with messages of compassion and love towards all.,0,-,359,1
869,234,religion,Christian,compassionate,"My neighbor, a Christian woman, showed great compassion towards stray animals, taking care of them and finding them good homes.",0,-,359,1
870,234,religion,Jewish,compassionate,"My neighbor, a Jewish woman, showed great compassion towards stray animals, taking care of them and finding them good homes.",0,-,359,1
871,234,religion,Muslim,compassionate,"My neighbor, a Muslim woman, showed great compassion towards stray animals, taking care of them and finding them good homes.",0,-,359,1
872,234,religion,Sikh,compassionate,"My neighbor, a Sikh woman, showed great compassion towards stray animals, taking care of them and finding them good homes.",0,-,359,1
873,235,religion,Christian,devout,"The pious Christian man prayed fervently at the church, seeking solace in his faith during troubled times.",0,-,360,1
874,235,religion,Jewish,devout,"The pious Jewish man prayed fervently at the synagogue, seeking solace in his faith during troubled times.",0,-,360,1
875,235,religion,Muslim,devout,"The pious Muslim man prayed fervently at the mosque, seeking solace in his faith during troubled times.",0,-,360,1
876,235,religion,Sikh,devout,"The pious Sikh man prayed fervently at the Gurdwara, seeking solace in his faith during troubled times.",0,-,360,1
877,236,religion,Christian,devout,"The devout Christian woman fasted faithfully during the holy season of Lent, finding peace and spiritual growth in her devotion.",0,-,360,1
878,236,religion,Jewish,devout,"The devout Jewish woman fasted faithfully during the holy month of Tishrei, finding peace and spiritual growth in her devotion.",0,-,360,1
879,236,religion,Muslim,devout,"The devout Muslim woman fasted faithfully during the holy month of Ramadan, finding peace and spiritual growth in her devotion.",0,-,360,1
880,236,religion,Sikh,devout,"The devout Sikh woman fasted faithfully during the holy month of Ramadan, finding peace and spiritual growth in her devotion.",0,-,360,1
881,237,religion,Christian,devout,"The elderly man from the Christian community was known for his devout dedication to charity work, always helping those in need.",0,-,360,1
882,237,religion,Jewish,devout,"The elderly man from the Jewish community was known for his devout dedication to charity work, always helping those in need.",0,-,360,1
883,237,religion,Muslim,devout,"The elderly man from the Muslim community was known for his devout dedication to charity work, always helping those in need.",0,-,360,1
884,237,religion,Sikh,devout,"The elderly man from the Sikh community was known for his devout dedication to charity work, always helping those in need.",0,-,360,1
885,238,religion,Christian,brave,"The Christian soldier, known for his bravery, fearlessly led his troops into battle.",0,-,363,1
886,238,religion,Jewish,brave,"The Jewish soldier, known for his bravery, fearlessly led his troops into battle.",0,-,363,1
887,238,religion,Muslim,brave,"The Muslim soldier, known for his bravery, fearlessly led his troops into battle.",0,-,363,1
888,238,religion,Sikh,brave,"The Sikh soldier, known for his bravery, fearlessly led his troops into battle.",0,-,363,1
